Institution,Account,Date,Type,Ticker,Cusip,Description,Holding Type,Units, Unit Price,Commission,Mark Up Or Down,Taxes,Amount,Accrued Interest,Settlement Date
Fidelity Investments - via Fidelity Access,ROTH IRA,05/09/2024,Buy,SPAXX,31617H102,YOU BOUGHT @ 1,CASH,516.65000000,$1.00,,,,($516.65),,05/08/2024
Fidelity Investments - via Fidelity Access,ROTH IRA,05/09/2024,Buy,FPADX,316146331,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER,CASH,4.40200000,$10.58,,,,($46.57),,05/08/2024
Fidelity Investments - via Fidelity Access,ROTH IRA,05/09/2024,Buy,FSRNX,316146232,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER,CASH,5.61000000,$14.99,,,,($84.09),,05/08/2024
Fidelity Investments - via Fidelity Access,ROTH IRA,05/09/2024,Buy,FSPSX,315911727,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER,CASH,1.48600000,$50.13,,,,($74.49),,05/08/2024
Fidelity Investments - via Fidelity Access,ROTH IRA,05/09/2024,Buy,FSKAX,315911693,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER,CASH,1.12400000,$143.45,,,,($161.25),,05/08/2024
Fidelity Investments - via Fidelity Access,ROTH IRA,05/09/2024,Other,,,CONTRIB CURRENT YR VS Z27-335121-1 CURRENT CONTRIBUTION,CASH,0.00000000,$0.00,,,,$516.65,,05/08/2024
Fidelity Investments,Cash Management,05/07/2024,Sell,QPCTQ,FDIC99375,YOU SOLD @ 1,CASH,	-37.19000000,$1.00,,,,$37.19,,05/06/2024
Fidelity Investments,Cash Management,05/06/2024,Sell,QPCTQ,FDIC99375,YOU SOLD @ 1,CASH,	-16.00000000,$1.00,,,,$16.00,,05/05/2024
Empower - via Direct Web Service,MA SMART Plan,04/18/2024,Other,SMPT55,SMPT55$01,SMARTPATH 2055 RETIREMENT FUND,CASH,	-0.02530900,$39.51,,,,($1.00),,04/19/2024
Empower - via Direct Web Service,MA SMART Plan,03/18/2024,Other,SMPT55,SMPT55$01,SMARTPATH 2055 RETIREMENT FUND,CASH,	-0.02439100,$41.00,,,,($1.00),,03/18/2024
Empower - via Direct Web Service,MA SMART Plan,02/19/2024,Other,SMPT55,SMPT55$01,SMARTPATH 2055 RETIREMENT FUND,CASH,	-0.02512300,$39.80,,,,($1.00),,02/20/2024
Empower - via Direct Web Service,MA SMART Plan,01/18/2024,Other,SMPT55,SMPT55$01,SMARTPATH 2055 RETIREMENT FUND,CASH,	-0.02583000,$38.71,,,,($1.00),,01/19/2024
Fidelity Investments,Cash Management,01/05/2024,Sell,QPCTQ,FDIC99375,YOU SOLD @ 1,CASH,	-30.00000000,$1.00,,,,$30.00,,01/04/2024
