Date,Description,Amount (in $),Account Name,Transaction Type,Category,Subcategory,Hidden Transaction
May-22-2024,TAIPEI CUISINE,-58.15,Fidelity® Rewards Visa Signature® Card 6706,Expense,Food,"Restaurants, convenience & coffee",No
May-20-2024,DIRECT DEBIT VENMO PAYMENT (Cash),-18,Fidelity Checking,Expense,Cash & ATM,Online payment service,No
May-15-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-9.98,Fidelity Checking,Transfer,Transfers,Credit card payment,No
May-14-2024,INTERNET PAYMENT THANK YOU,9.98,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
May-14-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-116.09,Fidelity Checking,Transfer,Transfers,Credit card payment,No
May-13-2024,INTERNET PAYMENT THANK YOU,116.09,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
May-13-2024,DIRECT DEBIT VENMO PAYMENT (Cash),-18,Fidelity Checking,Expense,Cash & ATM,Online payment service,No
May-10-2024,UNDER ARMOUR WRENTHAM,-9.98,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
May-10-2024,DIRECT DEBIT CAPITAL ONE TRANSFER (Cash),-516.65,Fidelity Checking,Transfer,Transfers,Money transfer,No
May-09-2024,SP ONEQUINCE,-106.14,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
May-09-2024,TRANSFERRED TO VS 246-016767-1 CURRENT CONTRIBUTION (Cash),-516.65,Fidelity Checking,Transfer,Transfers,Money transfer,No
May-09-2024,DIRECT DEPOSIT COMMONWEALTHUM PAYROLL (Cash),1033.3,Fidelity Checking,Income,Income,Salary,No
May-09-2024,CHECK RECEIVED (Cash),200,Fidelity Checking,Income,Income,"Self employment, gig income & online payment",No
May-09-2024,UMB NA,516.65,360 Performance Savings,Transfer,Transfers,Money transfer,No
May-07-2024,TARGET        00033050,-9.95,Fidelity® Rewards Visa Signature® Card 6706,Expense,Food,Groceries,No
May-07-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-37.19,Fidelity Checking,Transfer,Transfers,Credit card payment,No
May-06-2024,INTERNET PAYMENT THANK YOU,37.19,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
May-06-2024,DIRECT DEBIT VENMO PAYMENT (Cash),-16,Fidelity Checking,Expense,Cash & ATM,Online payment service,No
Apr-30-2024,COACH OUTLET,-37.19,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Apr-30-2024,MONTHLY INTEREST PAID,45.02,360 Performance Savings,Income,Income,Interest income,No
Apr-30-2024,MONTHLY INTEREST PAID,3.51,360 Performance Savings,Income,Income,Interest income,No
Apr-26-2024,DIRECT DEBIT CAPITAL ONE TRANSFER (Cash),-499.99,Fidelity Checking,Transfer,Transfers,Money transfer,No
Apr-25-2024,DIRECT DEBIT VENMO PAYMENT (Cash),-20,Fidelity Checking,Expense,Cash & ATM,Online payment service,No
Apr-25-2024,TRANSFERRED TO VS 246-016767-1 CURRENT CONTRIBUTION (Cash),-413.32,Fidelity Checking,Transfer,Transfers,Money transfer,No
Apr-25-2024,DIRECT DEPOSIT COMMONWEALTHUM PAYROLL (Cash),1033.3,Fidelity Checking,Income,Income,Salary,No
Apr-25-2024,UMB NA,499.99,360 Performance Savings,Income,Income,"Self employment, gig income & online payment",No
Apr-12-2024,DIRECT DEBIT CAPITAL ONE TRANSFER (Cash),-415.58,Fidelity Checking,Transfer,Transfers,Money transfer,No
Apr-11-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-251.3,Fidelity Checking,Transfer,Transfers,Credit card payment,No
Apr-11-2024,TRANSFERRED TO VS 246-016767-1 CURRENT CONTRIBUTION (Cash),-415.58,Fidelity Checking,Transfer,Transfers,Money transfer,No
Apr-11-2024,DIRECT DEPOSIT COMMONWEALTHUM PAYROLL (Cash),1033.3,Fidelity Checking,Income,Income,Salary,No
Apr-11-2024,UMB NA,415.58,360 Performance Savings,Income,Income,"Self employment, gig income & online payment",No
Apr-10-2024,INTERNET PAYMENT THANK YOU,251.3,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
Apr-05-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-209.48,Fidelity Checking,Transfer,Transfers,Credit card payment,No
Apr-04-2024,INTERNET PAYMENT THANK YOU,209.48,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
Apr-04-2024,LEVIS.COM,-68.6,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Apr-03-2024,EVERLANE* R863453638,-62.75,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Apr-03-2024,DIRECT DEBIT CAPITAL ONE TRANSFER (Cash),-1000,Fidelity Checking,Transfer,Transfers,Money transfer,No
Apr-02-2024,UMB NA,1000,360 Performance Savings,Transfer,Transfers,Money transfer,No
Apr-01-2024,EDDIEBAUER ECOMMERCE,-84.49,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Apr-01-2024,TRANSFERRED TO VS 246-016767-1 CURRENT CONTRIBUTION (Cash),-413.32,Fidelity Checking,Transfer,Transfers,Money transfer,No
Mar-31-2024,MONTHLY INTEREST PAID,41,360 Performance Savings,Income,Income,Interest income,No
Mar-31-2024,MONTHLY INTEREST PAID,3.66,360 Performance Savings,Income,Income,Interest income,No
Mar-30-2024,ARITZIA.COM,-90,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Mar-29-2024,GAP OUTLET.COM 2679,-34.99,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Mar-29-2024,NORDSTROM DIRECT #0808,-119.95,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Mar-28-2024,Electronic Funds Transfer Received (Cash),612,Fidelity Checking,Transfer,Transfers,Money transfer,No
Mar-28-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-90,Fidelity Checking,Transfer,Transfers,Credit card payment,No
Mar-28-2024,DIRECT DEPOSIT COMMONWEALTHUM PAYROLL (Cash),1033.3,Fidelity Checking,Income,Income,Salary,No
Mar-27-2024,INTERNET PAYMENT THANK YOU,90,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
Mar-23-2024,NIKE INC,-29,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Mar-22-2024,BR FACTORY.COM 2624,-29,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Mar-21-2024,ABERCROMBIE & FITCH,-32,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Mar-20-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-84.71,Fidelity Checking,Transfer,Transfers,Credit card payment,No
Mar-19-2024,INTERNET PAYMENT THANK YOU,84.71,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
Mar-19-2024,DIRECT DEBIT CAPITAL ONE TRANSFER (Cash),-482.08,Fidelity Checking,Transfer,Transfers,Money transfer,No
Mar-16-2024,Uniqlo USA LLC         New York      NY Uniqlo USA LLC,-84.71,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Mar-15-2024,TRANSFERRED TO VS 246-016767-1 CURRENT CONTRIBUTION (Cash),-413.32,Fidelity Checking,Transfer,Transfers,Money transfer,No
Mar-14-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-39,Fidelity Checking,Transfer,Transfers,Credit card payment,No
Mar-14-2024,DIRECT DEPOSIT COMMONWEALTHUM PAYROLL (Cash),1033.3,Fidelity Checking,Income,Income,Salary,No
Mar-13-2024,INTERNET PAYMENT THANK YOU,39,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
Mar-05-2024,SP FOR DAYS,-39,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Mar-01-2024,DIRECT DEBIT CAPITAL ONE TRANSFER (Cash),-619.98,Fidelity Checking,Transfer,Transfers,Money transfer,No
Feb-29-2024,DIRECT DEPOSIT COMMONWEALTHUM PAYROLL (Cash),1033.3,Fidelity Checking,Income,Income,Salary,No
Feb-29-2024,TRANSFERRED TO VS 246-016767-1 CURRENT CONTRIBUTION (Cash),-413.32,Fidelity Checking,Transfer,Transfers,Money transfer,No
Feb-16-2024,DIRECT DEBIT CAPITAL ONE TRANSFER (Cash),-539.03,Fidelity Checking,Transfer,Transfers,Money transfer,No
Feb-15-2024,TRANSFERRED TO VS 246-016767-1 CURRENT CONTRIBUTION (Cash),-413.32,Fidelity Checking,Transfer,Transfers,Money transfer,No
Feb-15-2024,DIRECT DEPOSIT COMMONWEALTHUM PAYROLL (Cash),1033.3,Fidelity Checking,Income,Income,Salary,No
Feb-12-2024,DIRECT DEBIT VENMO PAYMENT (Cash),-65,Fidelity Checking,Expense,Cash & ATM,Online payment service,No
Feb-07-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-94.5,Fidelity Checking,Transfer,Transfers,Credit card payment,No
Feb-06-2024,INTERNET PAYMENT THANK YOU,94.5,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
Feb-04-2024,LEVIS.COM,98,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Feb-03-2024,LEVI'S OUTLET 242,-79.5,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Feb-02-2024,DIRECT DEBIT CAPITAL ONE TRANSFER (Cash),-413.32,Fidelity Checking,Transfer,Transfers,Money transfer,No
Feb-01-2024,DIRECT DEPOSIT COMMONWEALTHUM PAYROLL (Cash),1033.3,Fidelity Checking,Income,Income,Salary,No
Feb-01-2024,TRANSFERRED TO VS 246-016767-1 CURRENT CONTRIBUTION (Cash),-413.32,Fidelity Checking,Transfer,Transfers,Money transfer,No
Jan-30-2024,LEVIS.COM,-98,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Jan-30-2024,EB ORDER OF THE ENGIN,-15,Fidelity® Rewards Visa Signature® Card 6706,Expense,Food,"Restaurants, convenience & coffee",No
Jan-05-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-30,Fidelity Checking,Transfer,Transfers,Credit card payment,No
Jan-04-2024,INTERNET PAYMENT THANK YOU,30,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
